city,long,lat,country,iso2,admin,capital,population,population_proper
Mumbai,72.836447,18.987807,India,IN,Mah?r?shtra,admin,18978000,12691836
Delhi,77.231495,28.651952,India,IN,Delhi,admin,15926000,7633213
Kolkata,88.363044,22.562627,India,IN,West Bengal,admin,14787000,4631392
Chennai,80.248357,13.084622,India,IN,Tamil N?du ,admin,7163000,4328063
Bengal?ru,77.587106,12.977063,India,IN,Karn?taka,admin,6787000,5104047
Hyderabad,78.456355,17.384052,India,IN,Andhra Pradesh,admin,6376000,3597816
Ahmad?b?d,72.587265,23.025793,India,IN,Gujar?t,minor,5375000,3719710
H?ora,88.318566,22.576882,India,IN,West Bengal,,4841638,1027672
Pune,73.849852,18.513271,India,IN,Mah?r?shtra,,4672000,2935744
S?rat,72.830232,21.195944,India,IN,Gujar?t,,3842000,2894504
Mard?npur,80.267176,26.430066,India,IN,Uttar Pradesh,,3162000,2823249
R?mpura,75.789336,26.884682,India,IN,R?jasth?n,,2917000,2711758
Lucknow,80.923133,26.839281,India,IN,Uttar Pradesh,admin,2695000,2472011
N?ra,79.089284,21.203096,India,IN,Mah?r?shtra,,2454000,2228018
Patna,85.101027,25.615379,India,IN,Bih?r,admin,2158000,1599920
Indore,75.85859,22.717736,India,IN,Madhya Pradesh,,2026000,1837041
Vadodara,73.208119,22.299405,India,IN,Gujar?t,,1756000,1409476
Bhopal,77.402892,23.254688,India,IN,Madhya Pradesh,admin,1727000,1599914
Coimbatore,76.966122,11.005547,India,IN,Tamil N?du ,,1696000,959823
Ludhi?na,75.853789,30.912042,India,IN,Punjab,,1649000,1545368
?gra,78.003944,27.187935,India,IN,Uttar Pradesh,,1592000,1430055
Kaly?n,73.135537,19.243703,India,IN,Mah?r?shtra,,1576614,1576614
Vish?khapatnam,83.297663,17.704052,India,IN,Andhra Pradesh,,1529000,1063178
Kochi,76.253802,9.947743,India,IN,Kerala,,1519000,604696
N?sik,73.776887,19.999963,India,IN,Mah?r?shtra,,1473000,1289497
Meerut,77.706356,28.980018,India,IN,Uttar Pradesh,,1398000,1223184
Far?d?b?d,77.313162,28.411236,India,IN,Hary?na,,1394000,1394000
V?r?nasi,83.005811,25.31774,India,IN,Uttar Pradesh,,1352000,1164404
Gh?zi?b?d,77.439148,28.665353,India,IN,Uttar Pradesh,,1341000,1199191
?sansol,86.983333,23.683333,India,IN,West Bengal,,1328000,1328000
Jamshedpur,86.185448,22.802776,India,IN,Jharkhand,,1300000,616338
Madurai,78.119622,9.917347,India,IN,Tamil N?du ,,1294000,909908
Jabalpur,79.935903,23.174495,India,IN,Madhya Pradesh,,1285000,1030168
R?jkot,70.793217,22.291606,India,IN,Gujar?t,,1260000,1099882
Dhanb?d,86.443244,23.801988,India,IN,Jharkhand,,1246000,219636
Amritsar,74.875335,31.622337,India,IN,Punjab,,1212000,1092450
Warangal,79.600209,17.978423,India,IN,Andhra Pradesh,,1203853,865527
Allah?b?d,81.843217,25.44478,India,IN,Uttar Pradesh,,1201000,1073438
Sr?nagar,74.805553,34.085652,India,IN,Jammu and Kashm?r,admin,1140000,975857
